"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1844802529713922062","Fri Oct 11 18:11:45 +0000 2024","0","Setelah pertandingan antara Indonesia dan Bahrain yang berakhir 2-2 Shin Tae-yong mengkritik keras keputusan wasit terutama terkait tambahan waktu. Shin menyoroti bahwa wasit Ahmed Al Kaf memberikan waktu tambahan lebih dari yang seharusnya yakni lebih dari sembilan menit ","1844803088584217000","","cironikaCijolek","in","","0","1","0","https://x.com/cironikaCijolek/status/1844803088584217000","611514053","cironikaCijolek"
"1844716215677452357","Fri Oct 11 18:06:46 +0000 2024","3","@MamatAlkatiri Harusnya sisipkan 1 pesepakbola antah berantah besok lawan Bahrain di GBK. Kalau wasitnya TAEK tugasnya suruh pukul tuh wasit aja gausah maen. Dikartu merah dan banned dari bola. Dendam anakbolatersampaikan","1844801831706227112","","MamatAlkatiri","in","Jgj - Bli - Jkt - Bks - Crb","0","0","0","https://x.com/yosuakristian/status/1844801831706227112","59736553","yosuakristian"
"1844801487039348744","Fri Oct 11 18:05:23 +0000 2024","1","afcmafia Bahrain asu wasit kontol https://t.co/HWSM99fX55","1844801487039348744","https://pbs.twimg.com/ext_tw_video_thumb/1844801443154554880/pu/img/slD_2dWwOmLTh6Yu.jpg","","in","","0","0","0","https://x.com/andhikawp25/status/1844801487039348744","1744383811537059840","andhikawp25"
"1844799643445555226","Fri Oct 11 17:58:04 +0000 2024","0","yak sebelum tidur wasit Oman anjing Bahrain anjing AFC anjing","1844799643445555226","","","in","","0","0","0","https://x.com/BharaHember/status/1844799643445555226","595631088","BharaHember"
"1844695288566698322","Fri Oct 11 17:24:12 +0000 2024","17","@alggzndr @aingriwehuy Agak sulit sih mau komplain juga. Ketua AFC'nya aja orang Bahrain Malah nempatin wasit arab. Memang udah terkenal dengan KKN mereka. Para pendahulunya aja ditangkep karena korupsi semua. https://t.co/g57dIUoKH7","1844791120057770465","https://pbs.twimg.com/media/GZoDvx3bMAAvfmi.jpg","alggzndr","in","Bandung, Jawa Barat","0","0","0","https://x.com/leogusta_/status/1844791120057770465","72044599","leogusta_"
"1844791002252366307","Fri Oct 11 17:23:44 +0000 2024","0","Wasit memberikan perpanjangan untuk kedua tim. Untuk Bahrain menyamakan kedudukan Indonesia memantapkan kemenangan. Coba saja Witan membobol gawang Bahrain menit 93. Apa reaksi kita?","1844791002252366307","","","in","Indonesia","0","1","0","https://x.com/Ach_faishol/status/1844791002252366307","947473116","Ach_faishol"
"1844790884203667521","Fri Oct 11 17:23:16 +0000 2024","0","gue gak akan bisa lupa tu bahrain tolol wasit najis","1844790884203667521","","","in","yunho's arm","0","0","0","https://x.com/mepinksun/status/1844790884203667521","1782203879213641728","mepinksun"
"1844790215363223657","Fri Oct 11 17:20:36 +0000 2024","1","WASIT BAHRAIN COMBO KONTOLLLLL","1844790215363223657","","","in","Indonesia","0","0","0","https://x.com/khrisnaftw/status/1844790215363223657","1201385789877149697","khrisnaftw"
"1844449832599220549","Fri Oct 11 17:19:40 +0000 2024","1","Yang main curang tentu merasa seneng² aja kan Pak? |Jokowi Gondok Timnas Gagal Menang Lawan Bahrain Soroti Ulah Wasit https://t.co/nm4Z5tHWWZ","1844789981664919979","","Dogelkarya76_82","in","","0","0","0","https://x.com/Dogelkarya76_82/status/1844789981664919979","1689127825440493568","Dogelkarya76_82"
"1844763475677229284","Fri Oct 11 17:14:09 +0000 2024","1","@thejurgenholic keinget hal hal gk enak trs gen wasit timnas gk niup peluit akhir bahrain guling guling nunez opsed. ","1844788590368182465","","thejurgenholic","in","Jakarta Capital Region, Indone","0","0","0","https://x.com/officiallifc/status/1844788590368182465","1565869237","officiallifc"
"1844788478694903842","Fri Oct 11 17:13:42 +0000 2024","0","Yeuu sedotan cendol Bahrain kalo tanpa ketololan wasit pala botak mah kasian dahhhhhhh masa ngelawan negara yg rank nya 129 kudu ditolong ngaret menit niup peluit #AFCMafia","1844788478694903842","","","in","","0","0","0","https://x.com/tktmashigf/status/1844788478694903842","1412028932161900545","tktmashigf"
